id,description,category,priority
90,Live wire fallen on wet road after storm urgent,Safety Hazard,Critical
91,Electricity disconnected without prior notice unfair,Billing,High
92,New substation needed for growing township,Infrastructure,Medium
93,Smart meter installation request for home,New Connection,Low
94,Account name change after marriage documentation,Billing,Low
95,Repeated outages every weekend affecting work,Power Outage,Medium
96,Electricity for community borehole pump rural water access,New Connection,High
97,Faulty insulator causing power loss on main feeder,Infrastructure,High
98,Meter glass broken vandalism reported,Meter Issue,Low
99,Urgent reconnection after erroneous disconnection,Billing,High
100,Power surge from lightning strike damaged equipment,Power Quality,High
